key,cz,en,ch
aw_name_decision Title,国号决议,State Name Decision,國號決議
aw_conferred_posthumous Title,追谥赠谥,Confer Posthumous Title,追諡贈諡
aw_hist_event_conferred_posthumous,赠谥,Posthumous Conferment,贈諡
aw_hist_conferred_posthumous_edict,故{0}，{1}，赠谥{2}。,The late {0}; {1}; is posthumously titled {2}.,故{0}，{1}，贈諡{2}。
aw3_year_conferred_posthumous,年度赠谥,Annual posthumous conferment,年度贈諡
aw_conferred_window_title,追谥赠谥,Confer Posthumous Title,追諡贈諡
aw_conferred_action,赠谥,Confer posthumous title,贈諡
aw_conferred_action_desc,审阅系统依生平事实评定的谥号,Review the title evaluated from recorded life facts,審閱系統依生平事實評定的諡號
aw_conferred_unavailable,当前不可赠谥,Conferment unavailable,目前不可贈諡
aw_conferred_confirm,颁诏,Issue decree,頒詔
aw_conferred_unknown_actor,佚名,Unknown person,佚名
aw_conferred_relationship,与本国关系,Relationship to this realm,與本國關係
aw_conferred_proposed,拟授谥号,Proposed title,擬授諡號
aw_conferred_title_meaning,谥义,Title meaning,諡義
aw_conferred_major_deeds,主要功绩,Major deeds,主要功績
aw_conferred_highest_office,最高官职,Highest office,最高官職
aw_conferred_noble_title,正式爵号,Noble title,正式爵號
aw_conferred_none,无,None,無
aw_conferred_existing,已有谥号,Existing posthumous title,已有諡號
aw_conferred_deeds_civil,文治,Civil merit,文治
aw_conferred_deeds_military,武功,Military merit,武功
aw_conferred_deeds_tenure,任职年数,Years served,任職年數
aw_conferred_role_former_king,本国故君,Former ruler of this realm,本國故君
aw_conferred_role_royal_clan,本国宗室,Royal clan of this realm,本國宗室
aw_conferred_role_general,本国故将,Former general of this realm,本國故將
aw_conferred_role_official,本国故臣,Former official of this realm,本國故臣
aw_conferred_result_invalid_kingdom,当前王国不存在或没有在位君主,The granting realm is unavailable or has no ruler,目前王國不存在或沒有在位君主
aw_conferred_result_missing_context,必须由所属王国的历史关系进入人物传记,Open the biography through a recorded realm relationship,必須由所屬王國的歷史關係進入人物傳記
aw_conferred_result_missing_archive,没有找到该人物的死亡档案,The archived death record is missing,沒有找到該人物的死亡檔案
aw_conferred_result_target_living,在世人物不能追赠谥号,A living person cannot receive a posthumous title,在世人物不能追贈諡號
aw_conferred_result_no_relationship,没有可核验的本国宗室仕途或军功记录,No verified royal civil or military service exists in this realm,沒有可核驗的本國宗室仕途或軍功記錄
aw_conferred_result_already_titled,该人物已有正式谥号,This person already has a formal posthumous title,該人物已有正式諡號
aw_conferred_result_cooldown,本国尚需等待{0}年方可再次赠谥,This realm must wait {0} more years before another conferment,本國尚需等待{0}年方可再次贈諡
aw_conferred_result_no_title,没有可用且符合生平评价的谥号,No suitable unused posthumous title is available,沒有可用且符合生平評價的諡號
aw_conferred_result_stale,人物或王国状态已经变化请重新审阅,The person or realm changed; review the title again,人物或王國狀態已經變化請重新審閱
