key,cz,en,ch
aw_policy_adopt_xia_rites,采夏礼,Adopt Xia Rites,采夏禮
aw_policy_adopt_xia_rites_desc,入据夏地的外族王国采用夏地礼制朝仪和正统叙事,Foreign rulers in Xia lands adopt Xia rites court ritual and legitimacy,入據夏地的外族王國採用夏地禮制朝儀和正統敘事
aw_policy_xia_law_institutions,行夏制,Use Xia Institutions,行夏制
aw_policy_xia_law_institutions_desc,保留外族血统与外貌但在律令纪年爵位和城市治理上改行夏制,Keep foreign blood and appearance while adopting Xia law era titles and city rule,保留外族血統與外貌但在律令紀年爵位和城市治理上改行夏制
aw_decision_appease_xia_cities,抚夏民,Appease Xia Cities,撫夏民
aw_decision_appease_xia_cities_desc,安抚入据的夏地城市降低民怨和义军风险,Appease occupied Xia cities to reduce resentment and rebel risk,安撫入據的夏地城市降低民怨和義軍風險
aw_xiaization_level,入夏等级,Xiaization Level,入夏等級
aw_xiaization_foreign_entry,入据夏地,Entered Xia Lands,入據夏地
aw_xiaization_pseudo_dynasty,伪朝入夏,Pseudo Dynasty,偽朝入夏
aw_xiaization_adopted_rites,采夏礼,Adopted Xia Rites,采夏禮
aw_xiaization_institutions,行夏制,Xia Institutions,行夏制
aw_xiaization_dynasty,入夏王朝,Xiaized Dynasty,入夏王朝
aw_general,大将,Great General,大將
aw_fief,封地,Fief,封地
aw_fief_holder,封地大将,Fief Holder,封地大將
aw_general_merit,军功,Merit,軍功
aw_general_loyalty,忠诚,Loyalty,忠誠
aw_general_ambition,野心,Ambition,野心
aw_general_risk_low,低风险,Low Risk,低風險
aw_general_risk_mid,中风险,Medium Risk,中風險
aw_general_risk_high,高风险,High Risk,高風險
