key,cz,en,ch
aw_cancel,取消,Cancel,取消
aw_settings_btn,AW3 设置,AW3 Settings,AW3 設定
aw_settings_btn Description,打开 AW3 模组设置,Open AW3 mod settings,開啟 AW3 模組設定
AW3_ENABLE_AI_ALLIANCE_ACTIONS,允许 AI 主动结盟,Allow AI alliance actions,允許 AI 主動結盟
AW3_ENABLE_AI_ALLIANCE_ACTIONS Description,允许 AI 提出或加入新联盟；不影响玩家外交和已有联盟的结束,Allow AI to propose or join new alliances; player diplomacy and existing alliance termination remain available,允許 AI 提出或加入新聯盟；不影響玩家外交和既有聯盟的結束
AW3_ENABLE_AI_VASSAL_ACTIONS,允许 AI 主动附庸/朝贡,Allow AI vassal and tributary actions,允許 AI 主動附庸/朝貢
AW3_ENABLE_AI_VASSAL_ACTIONS Description,允许 AI 提出附庸、朝贡、保护关系或发动征服附庸战争；不影响玩家外交,Allow AI to propose vassalage; tributary status; protection; or subjugation wars; player diplomacy remains available,允許 AI 提出附庸、朝貢、保護關係或發動征服附庸戰爭；不影響玩家外交
AW3_ENABLE_ARMY_RTS,启用 AW3 RTS 军队,Enable AW3 Army RTS,啟用 AW3 RTS 軍隊
AW3_ENABLE_ARMY_RTS Description,由 AW3 接管军队战略任务和行动；关闭时使用原版军队 AI；重启游戏后生效,Let AW3 control army strategy missions and movement; off uses the native army AI; takes effect after restart,由 AW3 接管軍隊戰略任務和行動；關閉時使用原版軍隊 AI；重新啟動遊戲後生效
AW3_ARMY_RTS_WAR_RESOLUTION_MODE,RTS 战争决议模式,RTS war resolution mode,RTS 戰爭決議模式
AW3_ARMY_RTS_WAR_RESOLUTION_MODE Description,循环选择标准原版战斗交接；站至最后一刻（关闭自动撤退）或抽象决胜（远程数值卡牌对决）；重启游戏后生效,Cycle between Standard vanilla handoff; Last Stand with automatic withdrawal disabled; and Abstract Decisive remote numerical-card duels; takes effect after restart,循環選擇標準原版戰鬥交接；站至最後一刻（關閉自動撤退）或抽象決勝（遠程數值卡牌對決）；重新啟動遊戲後生效
AW3_ARMY_RTS_WAR_RESOLUTION_MODE Option 0,标准,Standard,標準
AW3_ARMY_RTS_WAR_RESOLUTION_MODE Option 1,站至最后一刻,Last Stand,站至最後一刻
AW3_ARMY_RTS_WAR_RESOLUTION_MODE Option 2,抽象决胜,Abstract Decisive,抽象決勝
AW3_ENABLE_ARMY_RTS_DIAGNOSTICS,RTS 诊断输出 开启视为加入春秋制作组,RTS diagnostic output,RTS 診斷輸出
AW3_ENABLE_ARMY_RTS_DIAGNOSTICS Description,控制 RTS 诊断日志和战术 GIF 输出；立即生效,Controls RTS diagnostic logs and tactical GIF output; takes effect immediately,控制 RTS 診斷日誌和戰術 GIF 輸出；立即生效
AW3_ENABLE_ASYNC_DATABASE_WRITES,启用异步历史写入,Enable asynchronous history writes,啟用非同步歷史寫入
AW3_ENABLE_ASYNC_DATABASE_WRITES Description,将历史数据库写入批量移至后台；重启游戏后生效,Batch history database writes in the background; takes effect after restart,將歷史資料庫寫入批次移至背景；重新啟動遊戲後生效
AW3_ENABLE_ASYNC_SHADOW_CHECKS,启用异步影子校验,Enable asynchronous shadow checks,啟用非同步影子校驗
AW3_ENABLE_ASYNC_SHADOW_CHECKS Description,Shadow 诊断：仅用于开发/复现异步差异。开启后会额外校验异步结果，可能增加日志和少量开销；不会替代数据库写入。正常游玩请关闭。,Shadow diagnostics: for development and reproducing async differences only. Adds validation; log output; and a small amount of overhead; it does not replace database writes. Keep it off for normal play.,Shadow 診斷：僅用於開發/重現非同步差異。開啟後會額外校驗非同步結果；可能增加日誌和少量開銷；不會取代資料庫寫入。正常遊玩請關閉。
AW3_ENABLE_ASYNC_STRATEGY_PLANNING,启用异步战略规划,Enable asynchronous strategy planning,啟用非同步戰略規劃
AW3_ENABLE_ASYNC_STRATEGY_PLANNING Description,在后台计算外交和战争 AI 候选；重启游戏后生效,Calculate diplomacy and war AI candidates in the background; takes effect after restart,在背景計算外交和戰爭 AI 候選；重新啟動遊戲後生效
AW3_ENABLE_ASYNC_TRAVERSAL_BUILDS,启用异步寻路缓存,Enable asynchronous pathfinding cache builds,啟用非同步尋路快取建置
AW3_ENABLE_ASYNC_TRAVERSAL_BUILDS Description,在后台构建地形寻路缓存；重启游戏后生效,Build terrain pathfinding caches in the background; takes effect after restart,在背景建置地形尋路快取；重新啟動遊戲後生效
AW3_ENABLE_ASYNC_UI_QUERIES,启用异步界面候选计算,Enable asynchronous UI candidate queries,啟用非同步介面候選計算
AW3_ENABLE_ASYNC_UI_QUERIES Description,在后台准备大型界面的候选列表；重启游戏后生效,Prepare large interface candidate lists in the background; takes effect after restart,在背景準備大型介面的候選清單；重新啟動遊戲後生效
AW3_ENABLE_FRAME_PRIORITY_SCHEDULER,启用帧优先调度,Enable frame-priority scheduling,啟用幀優先調度
